Description,Torque,Ratio,Efficiency,Weight,Inertia,Shaft,Price
"Planetary Gearhead GP 32 A Ø32 mm, 0.75 - 4.5 Nm, Metal Version",2.25,18 : 1,75,160,0.8,32,137.55
"Planetary Gearhead GP 32 A Ø32 mm, 0.75 - 4.5 Nm, Metal Version",4.5,66 : 1,70,190,0.7,32,165.09
"Planetary Gearhead GP 32 A Ø32 mm, 0.75 - 4.5 Nm, Metal Version",4.5,111 : 1,70,190,0.7,32,165.09
"Planetary Gearhead GP 32 A Ø32 mm, 0.75 - 4.5 Nm, Metal Version",4.5,246 : 1,60,220,0.7,32,180.82
"Planetary Gearhead GP 32 C Ø32 mm, 1.0 - 6.0 Nm, Ceramic Version",1,4.8 : 1,80,110,1.5,32,121.09
"Planetary Gearhead GP 32 C Ø32 mm, 1.0 - 6.0 Nm, Ceramic Version",3,18 : 1,75,160,0.8,32,156.45
"Planetary Gearhead GP 32 C Ø32 mm, 1.0 - 6.0 Nm, Ceramic Version",6,66 : 1,70,190,0.7,32,183.91
"Planetary Gearhead GP 32 C Ø32 mm, 1.0 - 6.0 Nm, Ceramic Version",6,111 : 1,70,190,0.7,32,183.91
"Planetary Gearhead GP 32 C Ø32 mm, 1.0 - 6.0 Nm, Ceramic Version",6,318 : 1,60,220,0.7,32,199.64
"Planetary Gearhead GP 42 C Ø42 mm, 3 - 15 Nm, Ceramic Version",3,4.3 : 1,90,260,9.1,42,208.09
"Planetary Gearhead GP 42 C Ø42 mm, 3 - 15 Nm, Ceramic Version",7.5,15 : 1,81,360,15,42,234.36
"Planetary Gearhead GP 42 C Ø42 mm, 3 - 15 Nm, Ceramic Version",7.5,26 : 1,81,360,9.1,42,234.36
"Planetary Gearhead GP 42 C Ø42 mm, 3 - 15 Nm, Ceramic Version",15,43 : 1,72,460,15,42,248.64
"Planetary Gearhead GP 42 C Ø42 mm, 3 - 15 Nm, Ceramic Version",15,156 : 1,72,460,9.1,42,248.64
"Planetary Gearhead GP 10 A Ø10 mm, 0.01 - 0.15 Nm, Metal Version",0.1,64 : 1,73,8,0.005,10,93.91
"Planetary Gearhead GP 10 A Ø10 mm, 0.01 - 0.15 Nm, Metal Version",0.15,256 : 1,65,8,0.005,10,125.27
"Planetary Gearhead GP 52 C Ø52 mm, 4 - 30 Nm, Ceramic Version",4,4.3 : 1,91,460,12,52,262.55
"Planetary Gearhead GP 52 C Ø52 mm, 4 - 30 Nm, Ceramic Version",15,19 : 1,83,620,9.5,52,312.45
"Planetary Gearhead GP 52 C Ø52 mm, 4 - 30 Nm, Ceramic Version",30,43 : 1,75,770,17.3,52,345.36
"Planetary Gearhead GP 52 C Ø52 mm, 4 - 30 Nm, Ceramic Version",30,81 : 1,75,770,9.4,52,345.36
"Planetary Gearhead GP 32 HP Ø32 mm, 4.0 - 8.0 Nm, Metal Version, High Power",4,14 : 1,75,170,0.8,32,192.36
"Planetary Gearhead GP 32 HP Ø32 mm, 4.0 - 8.0 Nm, Metal Version, High Power",8,79 : 1,70,210,0.7,32,204.09
"Planetary Gearhead GP 32 HP Ø32 mm, 4.0 - 8.0 Nm, Metal Version, High Power",8,190 : 1,60,240,0.7,32,215.73
"Planetary Gearhead GP 16 C Ø16 mm, 0.2–0.6 Nm",0.5,370 : 1,65,33,0.05,16,142.27
"Planetary Gearhead GP 10 A Ø10 mm, 0.01 - 0.15 Nm, Metal Version",0.1,64 : 1,73,8,0.005,10,93.91
"Planetary Gearhead GP 10 A Ø10 mm, 0.01 - 0.15 Nm, Metal Version",0.15,256 : 1,65,8,0.005,10,125.27
"Planetary Gearhead GP 13 A Ø13 mm, 0.02 - 0.35 Nm, Metal version",0.3,131 : 1,75,17,0.015,13,54.09
"Planetary Gearhead GP 22 HP Ø22 mm, 2.0 - 3.4 Nm, High Power",2.4,19 : 1,70,64,0.4,22,177.18
"Planetary Gearhead GP 22 HP Ø22 mm, 2.0 - 3.4 Nm, High Power",3,53 : 1,59,78,0.4,22,196.55
"Planetary Gearhead GP 22 HP Ø22 mm, 2.0 - 3.4 Nm, High Power",3,128 : 1,59,78,0.4,22,196.55
"Planetary Gearhead GP 26 A Ø26 mm, 0.75–4.5 Nm",4.5,71 : 1,70,93,0.31,26,134.55
"Planetary Gearhead GP 26 A Ø26 mm, 0.75–4.5 Nm",2.25,27 : 1,80,77,0.54,26,124.18
"Planetary Gearhead GP 16 C Ø16 mm, 0.2–0.6 Nm",0.3,19 : 1,81,25,0.05,16,119.91
"Planetary Gearhead GP 16 C Ø16 mm, 0.2–0.6 Nm",0.2,4.4 : 1,90,22,0.07,16,111
"Planetary Gearhead GP 16 C Ø16 mm, 0.2–0.6 Nm",0.4,84 : 1,73,29,0.05,16,129.09
"Planetary Gearhead GP 6 A Ø6 mm, 0.002 - 0.03 Nm",0.03,221 : 1,60,3,0.001,6,101.45
"Planetary Gearhead GP 6 A Ø6 mm, 0.002 - 0.03 Nm",0.01,57 : 1,68,2,0.001,6,93.09
"Planetary gearhead GPX 6 Ø6 mm, 4-stage",0.03,221 : 1,60,3,0.001,6,107.09
"Planetary gearhead GPX 6 Ø6 mm, 1-stage",0.002,3.9 : 1,88,2,0.0008,6,80
"Planetary gearhead GPX 6 Ø6 mm, 5-stage",0.03,854 : 1,52,3,0.001,6,117
"Planetary gearhead GPX 6 Ø6 mm, 2-stage",0.005,15 : 1,77,2,0.001,6,88.27
"Planetary gearhead GPX 6 Ø6 mm, 3-stage",0.01,57 : 1,68,2,0.001,6,96.09
"Planetary gearhead GPX 8 Ø8 mm, 3-stage",0.02,216 : 1,66,4,0.004,8,110.82
"Planetary gearhead GPX 8 Ø8 mm, 4-stage",0.08,256 : 1,65,4,0.004,8,156.18
"Planetary gearhead GPX 8 Ø8 mm, 1-stage",0.01,4 : 1,90,3,0.004,8,96.18
"Planetary gearhead GPX 8 Ø8 mm, 5-stage",0.1,1024 : 1,59,5,0.004,8,181.82
"Planetary gearhead GPX 8 Ø8 mm, 4-stage",0.04,1296 : 1,57,4,0.004,8,127.55
"Planetary gearhead GPX 8 Ø8 mm, 2-stage",0.02,16 : 1,81,3,0.004,8,111.09
"Planetary gearhead GPX 8 Ø8 mm, 2-stage",0.008,36 : 1,76,3,0.004,8,96.18
"Planetary gearhead GPX 8 Ø8 mm, 3-stage",0.06,64 : 1,73,4,0.004,8,132.64
"Planetary gearhead GPX 10 Ø10 mm, 1-stage",0.01,4 : 1,90,7,0.005,10,70.36
"Planetary gearhead GPX 10 Ø10 mm, 2-stage",0.03,16 : 1,81,7,0.005,10,78.09
"Planetary gearhead GPX 10 Ø10 mm, 3-stage",0.1,64 : 1,73,8,0.005,10,91.27
"Planetary gearhead GPX 10 Ø10 mm, 4-stage",0.15,256 : 1,65,8,0.005,10,104.73
"Planetary gearhead GPX 10 Ø10 mm, 5-stage",0.15,1024 : 1,59,9,0.005,10,118.18
"Planetary gearhead GPX 12 Ø12 mm, 3-stage",0.14,103 : 1,75,17,0.0664,12,88.91
"Planetary gearhead GPX 12 Ø12 mm, 3-stage",0.14,111 : 1,75,17,0.0664,12,88.91
"Planetary gearhead GPX 12 Ø12 mm, 3-stage",0.14,138 : 1,75,17,0.0664,12,88.91
"Planetary gearhead GPX 12 Ø12 mm, 3-stage",0.14,150 : 1,75,17,0.0664,12,88.91
"Planetary gearhead GPX 12 Ø12 mm, 3-stage",0.14,172 : 1,75,17,0.0664,12,88.91
"Planetary gearhead GPX 12 Ø12 mm, 3-stage",0.14,186 : 1,75,17,0.0664,12,88.91
"Planetary gearhead GPX 12 Ø12 mm, 3-stage",0.14,231 : 1,75,17,0.0664,12,88.91
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,243 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,326 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 1-stage",0.08,3.9 : 1,90,11,0.0578,12,70.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,406 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,439 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,546 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,590 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 1-stage",0.08,5.3 : 1,90,11,0.0578,12,70.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,679 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,734 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,794 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,913 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,987 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,1135 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,1227 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 4-stage",0.17,1526 : 1,65,19,0.0834,12,101.27
"Planetary gearhead GPX 12 Ø12 mm, 2-stage",0.11,16 : 1,80,14,0.0602,12,78.55
"Planetary gearhead GPX 12 Ø12 mm, 2-stage",0.11,21 : 1,80,14,0.0602,12,78.55
"Planetary gearhead GPX 12 Ø12 mm, 2-stage",0.11,26 : 1,80,14,0.0602,12,78.55
"Planetary gearhead GPX 12 Ø12 mm, 2-stage",0.11,28 : 1,80,14,0.0602,12,78.55
"Planetary gearhead GPX 12 Ø12 mm, 2-stage",0.11,35 : 1,80,14,0.0602,12,78.55
"Planetary gearhead GPX 12 Ø12 mm, 3-stage",0.14,62 : 1,75,17,0.0664,12,88.91
"Planetary gearhead GPX 12 Ø12 mm, 3-stage",0.14,83 : 1,75,17,0.0664,12,88.91
"Planetary gearhead GPX 12 C Ø12 mm, 3-stage",0.19,103 : 1,75,17,0.0664,12,119.91
"Planetary gearhead GPX 12 C Ø12 mm, 3-stage",0.19,111 : 1,75,17,0.0664,12,119.91
"Planetary gearhead GPX 12 C Ø12 mm, 3-stage",0.19,138 : 1,75,17,0.0664,12,119.91
"Planetary gearhead GPX 12 C Ø12 mm, 3-stage",0.19,150 : 1,75,17,0.0664,12,119.91
"Planetary gearhead GPX 12 C Ø12 mm, 3-stage",0.19,172 : 1,75,17,0.0664,12,119.91
"Planetary gearhead GPX 12 C Ø12 mm, 3-stage",0.19,186 : 1,75,17,0.0664,12,119.91
"Planetary gearhead GPX 12 C Ø12 mm, 3-stage",0.19,231 : 1,75,17,0.0664,12,119.91
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,243 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,326 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 1-stage",0.11,3.9 : 1,90,11,0.0578,12,88.36
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,406 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,439 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,546 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,590 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 1-stage",0.11,5.3 : 1,90,11,0.0578,12,88.36
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,679 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,734 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,794 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,913 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,987 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,1135 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 4-stage",0.23,1526 : 1,65,19,0.0834,12,137.45
"Planetary gearhead GPX 12 C Ø12 mm, 2-stage",0.15,16 : 1,80,14,0.0602,12,103.09
"Planetary gearhead GPX 12 C Ø12 mm, 2-stage",0.15,21 : 1,80,14,0.0602,12,103.09
"Planetary gearhead GPX 12 C Ø12 mm, 2-stage",0.15,26 : 1,80,14,0.0602,12,103.09
"Planetary gearhead GPX 12 C Ø12 mm, 2-stage",0.15,28 : 1,80,14,0.0602,12,103.09
"Planetary gearhead GPX 12 C Ø12 mm, 2-stage",0.15,35 : 1,80,14,0.0602,12,103.09
"Planetary gearhead GPX 12 C Ø12 mm, 3-stage",0.19,62 : 1,75,17,0.0664,12,119.91
"Planetary gearhead GPX 12 C Ø12 mm, 3-stage",0.19,83 : 1,75,17,0.0664,12,119.91
"Planetary gearhead GPX 12 HP Ø12 mm, 3-stage",0.3,103 : 1,65,19,0.0671,12,132.36
"Planetary gearhead GPX 12 HP Ø12 mm, 3-stage",0.3,111 : 1,65,19,0.0671,12,132.36
"Planetary gearhead GPX 12 HP Ø12 mm, 3-stage",0.3,138 : 1,65,19,0.0671,12,132.36
"Planetary gearhead GPX 12 HP Ø12 mm, 3-stage",0.3,150 : 1,65,19,0.0671,12,132.36
"Planetary gearhead GPX 12 HP Ø12 mm, 3-stage",0.3,172 : 1,65,19,0.0671,12,132.36
"Planetary gearhead GPX 12 HP Ø12 mm, 3-stage",0.3,186 : 1,65,19,0.0671,12,132.36
"Planetary gearhead GPX 12 HP Ø12 mm, 3-stage",0.3,231 : 1,65,19,0.0671,12,132.36
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,243 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,326 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,406 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,439 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,546 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,590 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,679 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,734 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,794 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,913 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,987 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,1135 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,1227 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 4-stage",0.35,1526 : 1,55,21,0.0704,12,149
"Planetary gearhead GPX 12 HP Ø12 mm, 2-stage",0.25,16 : 1,75,16,0.0659,12,116.55
"Planetary gearhead GPX 12 HP Ø12 mm, 2-stage",0.25,21 : 1,75,16,0.0659,12,116.55
"Planetary gearhead GPX 12 HP Ø12 mm, 2-stage",0.25,26 : 1,75,16,0.0659,12,116.55
"Planetary gearhead GPX 12 HP Ø12 mm, 2-stage",0.25,28 : 1,75,16,0.0659,12,116.55
"Planetary gearhead GPX 12 HP Ø12 mm, 2-stage",0.25,35 : 1,75,16,0.0659,12,116.55
"Planetary gearhead GPX 12 HP Ø12 mm, 3-stage",0.3,62 : 1,65,19,0.0671,12,132.36
"Planetary gearhead GPX 12 HP Ø12 mm, 3-stage",0.3,83 : 1,65,19,0.0671,12,132.36
"Planetary gearhead GPX 12 LN Ø12 mm, 3-stage",0.11,103 : 1,75,17,0.0664,12,103.45
"Planetary gearhead GPX 12 LN Ø12 mm, 3-stage",0.11,111 : 1,75,17,0.0664,12,103.45
"Planetary gearhead GPX 12 LN Ø12 mm, 3-stage",0.11,138 : 1,75,17,0.0664,12,103.45
"Planetary gearhead GPX 12 LN Ø12 mm, 3-stage",0.11,150 : 1,75,17,0.0664,12,103.45
"Planetary gearhead GPX 12 LN Ø12 mm, 3-stage",0.11,172 : 1,75,17,0.0664,12,103.45
"Planetary gearhead GPX 12 LN Ø12 mm, 3-stage",0.11,186 : 1,75,17,0.0664,12,103.45
"Planetary gearhead GPX 12 LN Ø12 mm, 3-stage",0.11,231 : 1,75,17,0.0664,12,103.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,243 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,326 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LN Ø12 mm, 1-stage",0.06,3.9 : 1,90,11,0.0578,12,84.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,406 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,439 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,546 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,590 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LN Ø12 mm, 1-stage",0.06,5.3 : 1,90,11,0.0578,12,84.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,679 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,734 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,794 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,913 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,987 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,1135 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,1227 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.14,1526 : 1,65,19,0.0834,12,115.82
"Planetary gearhead GPX 12 LN Ø12 mm, 2-stage",0.09,16 : 1,80,14,0.0602,12,93.09
"Planetary gearhead GPX 12 LN Ø12 mm, 2-stage",0.09,21 : 1,80,14,0.0602,12,93.09
"Planetary gearhead GPX 12 LN Ø12 mm, 2-stage",0.09,26 : 1,80,14,0.0602,12,93.09
"Planetary gearhead GPX 12 LN Ø12 mm, 2-stage",0.09,28 : 1,80,14,0.0602,12,93.09
"Planetary gearhead GPX 12 LN Ø12 mm, 2-stage",0.09,35 : 1,80,14,0.0602,12,93.09
"Planetary gearhead GPX 12 LN Ø12 mm, 3-stage",0.11,62 : 1,75,17,0.0664,12,103.45
"Planetary gearhead GPX 12 LN Ø12 mm, 3-stage",0.11,83 : 1,75,17,0.0664,12,103.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 3-stage",0.14,103 : 1,75,17,0.0664,12,116.09
"Planetary gearhead GPX 12 LZ Ø12 mm, 3-stage",0.14,111 : 1,75,17,0.0664,12,116.09
"Planetary gearhead GPX 12 LZ Ø12 mm, 3-stage",0.14,138 : 1,75,17,0.0664,12,116.09
"Planetary gearhead GPX 12 LZ Ø12 mm, 3-stage",0.14,150 : 1,75,17,0.0664,12,116.09
"Planetary gearhead GPX 12 LZ Ø12 mm, 3-stage",0.14,172 : 1,75,17,0.0664,12,116.09
"Planetary gearhead GPX 12 LZ Ø12 mm, 3-stage",0.14,186 : 1,75,17,0.0664,12,116.09
"Planetary gearhead GPX 12 LZ Ø12 mm, 3-stage",0.14,231 : 1,75,17,0.0664,12,116.09
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,243 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,326 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,406 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,439 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,546 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,590 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,679 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,734 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,794 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,913 : 1,65,19,0.0834,12,128.45
